system:time_start,RS,Tmax,Tmin
"Jan 1, 1981",27.697,29.894,19.243
"Jan 2, 1981",26.953,30.927,17.73
"Jan 3, 1981",21.594,29.624,19.881
"Jan 4, 1981",18.518,29.095,20.308
"Jan 5, 1981",17.117,29.637,20.934
"Jan 6, 1981",17.329,30.591,20.279
"Jan 7, 1981",14.775,29.047,20.275
"Jan 8, 1981",14.16,27.624,19.815
"Jan 9, 1981",13.714,26.947,19.732
"Jan 10, 1981",20.651,29.846,20.576
"Jan 11, 1981",12.728,27.603,20.349
"Jan 12, 1981",16.411,28.089,19.882
"Jan 13, 1981",13.535,27.054,20.074
"Jan 14, 1981",17.007,27.823,20.589
"Jan 15, 1981",22.951,28.836,19.485
"Jan 16, 1981",26.602,29.665,18.876
"Jan 17, 1981",24.546,30.129,19.484
"Jan 18, 1981",13.11,29.138,21.803
"Jan 19, 1981",16.821,29.545,19.632
"Jan 20, 1981",21.008,31.859,20.477
"Jan 21, 1981",13.566,27.133,19.753
"Jan 22, 1981",13.605,24.297,19.618
"Jan 23, 1981",22.528,29.146,18.366
"Jan 24, 1981",25.257,29.84,18.106
"Jan 25, 1981",21.231,29.027,20.111
"Jan 26, 1981",17.954,28.334,20.274
"Jan 27, 1981",23.398,29.567,20.227
"Jan 28, 1981",28.323,30.789,19.806
"Jan 29, 1981",25.232,31.543,19.673
"Jan 30, 1981",22.956,32.511,20.203
"Jan 31, 1981",19.193,30.042,20.883
"Feb 1, 1981",27.062,31.98,20.74
"Feb 2, 1981",24.337,32.87,21.96
"Feb 3, 1981",19.464,31.325,21.338
"Feb 4, 1981",18.095,32.034,20.404
"Feb 5, 1981",16.251,30.924,21.077
"Feb 6, 1981",20.333,30.61,19.969
"Feb 7, 1981",22.478,29.873,19.88
"Feb 8, 1981",24.038,31.29,19.412
"Feb 9, 1981",21.605,30.312,20.759
"Feb 10, 1981",18.951,30.405,20.379
"Feb 11, 1981",19.396,30.964,20.346
"Feb 12, 1981",21.877,31.716,19.865
"Feb 13, 1981",17.842,29.813,20.953
"Feb 14, 1981",24.659,31.582,20.279
"Feb 15, 1981",26.461,32.834,21.39
"Feb 16, 1981",25.832,33.052,20.908
"Feb 17, 1981",22.009,31.954,20.99
"Feb 18, 1981",24.947,32.874,20.207
"Feb 19, 1981",22.545,32.434,19.297
"Feb 20, 1981",15.894,28.247,18.127
"Feb 21, 1981",9.861,22.331,18.03
"Feb 22, 1981",13.67,28.451,18.604
"Feb 23, 1981",18.172,29.225,18.197
"Feb 24, 1981",19.131,30.989,18.995
"Feb 25, 1981",13.797,29.922,19.451
"Feb 26, 1981",23.257,31.284,17.494
"Feb 27, 1981",25.123,32.554,19.447
"Feb 28, 1981",24.018,33.761,20.243
"Mar 1, 1981",23.595,33.535,21.637
"Mar 2, 1981",22.941,32.518,21.171
